id,u,v
740,697.2,1170
741,2456.4,2257.2
742,3922.8,660
743,3246,906
744,894,915.6
745,1940.4,2103.6
746,3084,1796.4
747,1384.8,1634.4
748,886.8,916.8
749,1105.2,679.2
750,2463.6,2260.8
751,1950,1969.2
752,3921.6,615.6
753,3007.2,921.6
754,3901.2,678
755,1176,1744.8
756,1143.6,1729.2
757,3555.6,678
758,3943.2,630
759,3885.6,630
760,3878.4,676.8
761,3717.6,1485.6
762,2455.2,2264.4
763,3884.4,676.8
764,3872.4,630
765,3890.4,676.8
766,3924,676.8
767,1214.4,1744.8
768,752.4,1164
769,3796.8,630
770,4219.2,981.6
771,3957.6,660
772,4364.4,576
773,187.2,948
774,193.2,948
775,3962.4,656.4
776,1978.8,1999.2
777,973.2,1712.4
778,3913.2,673.2
779,1658.4,1161.6
780,1224,1744.8
781,1651.2,1132.8
782,3752.4,657.6
783,920.4,933.6
784,4032,602.4
785,949.2,926.4
786,920.4,948
787,948,933.6
788,1058.4,1676.4
789,2509.2,2318.4
790,1227.6,1654.8
791,3933.6,612
792,4028.4,612
793,3808.8,632.4
794,3814.8,632.4
795,3858,632.4
796,800.4,1159.2
797,1204.8,1687.2
798,4006.8,632.4
799,3748.8,1545.6
800,3993.6,604.8
801,4014,632.4
802,2460,2270.4
803,592.8,1186.8
804,448.8,1188
805,3739.2,1508.4
806,4425.6,604.8
807,1742.4,474
808,583.2,1188
809,1278,1738.8
810,1152,1616.4
811,1393.2,1630.8
812,741.6,1158
813,3822,1593.6
814,3724.8,1502.4
815,1969.2,854.4
816,1261.2,1701.6
817,3843.6,634.8
818,3903.6,634.8
819,1106.4,853.2
820,1347.6,1714.8
821,1141.2,1605.6
822,3991.2,634.8
823,937.2,1701.6
824,3667.2,1434
825,1275.6,1716
826,2493.6,2006.4
827,1147.2,1608
828,1995.6,852
829,2427.6,1700.4
830,494.4,1197.6
831,502.8,1197.6
832,2608.8,1592.4
833,691.2,1144.8
834,3840,627.6
835,1527.6,1155.6
836,1908,1882.8
837,3630,303.6
838,1227.6,1647.6
839,3820.8,627.6
840,451.2,1200
841,1309.2,1694.4
842,3718.8,1501.2
843,3982.8,637.2
844,2025.6,2221.2
845,3651.6,1431.6
846,1210.8,836.4
847,3788.4,638.4
848,3837.6,638.4
849,2968.8,1717.2
850,3724.8,1509.6
851,818.4,1154.4
852,726,1154.4
853,1230,832.8
854,2714.4,1887.6
855,1378.8,1628.4
856,3904.8,638.4
857,3987.6,638.4
858,3973.2,626.4
859,1966.8,2012.4
860,1210.8,830.4
861,2026.8,2214
862,926.4,829.2
863,1968,828
864,4425.6,553.2
865,1215.6,828
866,3826.8,626.4
867,1994.4,825.6
868,4005.6,600
869,1924.8,2089.2
870,1148.4,951.6
871,2006.4,1880.4
872,1381.2,1644
873,1974,1891.2
874,3943.2,639.6
875,1263.6,1738.8
876,1527.6,1153.2
877,1035.6,1718.4
878,784.8,1153.2
879,4491.6,554.4
880,3704.4,1474.8
881,4405.2,1426.8
882,1152,1734
883,3792,661.2
884,1280.4,819.6
885,3837.6,640.8
886,3241.2,136.8
887,3793.2,1558.8
888,4488,598.8
889,3930,640.8
890,4413.6,598.8
891,3957.6,640.8
892,1278,1718.4
893,2047.2,2191.2
894,1309.2,1718.4
895,3886.8,642
896,3918,642
897,879.6,813.6
898,3244.8,134.4
899,4393.2,625.2
900,4006.8,606
901,3802.8,644.4
902,920.4,1692
903,1270.8,1675.2
904,1953.6,1893.6
905,1251.6,1656
906,2412,2085.6
907,1186.8,645.6
908,4461.6,536.4
909,3795.6,645.6
910,2722.8,2019.6
911,195.6,954
912,4428,556.8
913,1118.4,1747.2
914,3309.6,2019.6
915,1392,795.6
916,4078.8,625.2
917,798,1149.6
918,1196.4,1683.6
919,3956.4,625.2
920,1194,1663.2
921,711.6,1149.6
922,4028.4,606
923,1388.4,794.4
924,1840.8,1902
925,3889.2,625.2
926,1372.8,1642.8
927,3788.4,646.8
928,2716.8,2020.8
929,2972.4,1718.4
930,3808.8,1513.2
931,3313.2,648
932,1449.6,1248
933,3783.6,662.4
934,652.8,409.2
